figure_id,relative_path,title,alt_text
Supplementary Figure 14,Supplementary_Figures/Supplementary_Fig_14_additional_specimen_allometry_180mm.png,Supplementary Figure 14. Additional specimen-level allometry plots.,"Additional allometry plots for PC3-PC5 in the full 68-specimen shape dataset and for robust geometry variables in the 63-specimen main geometry dataset, including absolute turn number, axial span and pitch, start-to-end distance, fitted radius, helix-fit error and ratio diagnostics. Among the plotted geometry variables, absolute turn number retained a Holm-corrected association with size; the other plotted relationships did not survive correction."
Supplementary Figure 15,Supplementary_Figures/Supplementary_Fig_15_phylomorphospace_PC1_PC2_180mm.png,Supplementary Figure 15. Phylomorphospace of trochanteral shape in PC1-PC2 space.,Phylomorphospace projection of the topology-based Grafen 15-tip taxonomic proxy tree onto PC1-PC2. Terminal points are proxy-tip means and connecting branches are conditional reconstructions under the selected assignments and topology. The figure does not represent densely sampled family-level trajectories.
Supplementary Figure 16,Supplementary_Figures/Supplementary_Fig_16_PGLS_shape_vs_screw_geometry_180mm.png,Supplementary Figure 16. PGLS relationships in the main dataset between PC1 and screw joint geometry.,"The 14 taxonomic proxy-tip means retained in the main dataset are shown under the topology-based Grafen primary tree for (a) PC1 and absolute fitted winding angle and (b) PC1 and fitted axial pitch per 360-degree turn. Lines and 95% confidence bands are ordinary least-squares visual guides only. Both exploratory PGLS associations were negative but unsupported after false-discovery-rate correction (winding angle: β = -0.000404, raw P = 0.065, FDR-adjusted P = 0.177; axial pitch: β = -0.551, raw P = 0.069, FDR-adjusted P = 0.180)."
Supplementary Figure 17,Supplementary_Figures/Supplementary_Fig_17_tree_sensitivity_PGLS_slopes_180mm.png,Supplementary Figure 17. Sensitivity of PGLS slope estimates across alternative tree variants.,"PGLS slope estimates from the main dataset recalculated across 15 topology and branch-length representations. PC1 slopes for winding angle and axial span remained negative across all representations, but no focal relationship was significant after false-discovery-rate correction across the full sensitivity set. Point colours indicate tree class."
Supplementary Figure 18,Supplementary_Figures/Supplementary_Fig_18_leave_one_out_PGLS_slopes_180mm.png,Supplementary Figure 18. Leave-one-out robustness of PGLS slope estimates.,"Leave-one-out sensitivity of the main-dataset PGLS slopes linking axial span to PC1 (upper panel) and PC2 (lower panel). Each point is a model refitted after excluding one of the 14 matched proxy tips. PC1 slopes remained negative across all exclusions, whereas PC2 slopes varied around zero."
Supplementary Figure 19,Supplementary_Figures/Supplementary_Fig_19_leave_one_out_Pagels_lambda_180mm.png,Supplementary Figure 19. Leave-one-out robustness of estimated Pagel’s lambda.,"Leave-one-out estimates of Pagel’s λ for the same main-dataset PGLS models linking axial span to PC1 (upper panel) and PC2 (lower panel). All leave-one-out fits reached the upper boundary estimate λ = 1.00, indicating that no individual proxy tip shifted the maximum-likelihood estimate away from the boundary."
Supplementary Figure 2,Supplementary_Figures/Supplementary_Fig_2_kPCA_morphospace_sensitivity_180mm.png,Supplementary Figure 2. Sensitivity of the atlas-derived morphospace to linear and nonlinear ordination.,"(a,b) Ordinary PCA of centred, vectorized subject-specific momenta. (c,d) RBF-kPCA using γ = 0.25, retained from the original workflow. (e,f) RBF-kPCA using a data-adaptive median-distance kernel. Panels show the first two and second and third matched axes. Points represent specimens and are coloured by family. Both kPCA parameterizations retained the principal family-level structure observed with ordinary PCA. Quantitative comparisons of axis correspondence, interspecimen distances and downstream tests are provided in Supplementary Table 4."
Supplementary Figure 20,Supplementary_Figures/Supplementary_Fig_20_ecology_PC2_180mm.png,Supplementary Figure 20. Ecological contrasts for PC2.,"Boxplots showing the distribution of PC2 across the four broad ecological predictors used in the comparative analyses: host lineage, wood association, larval lifestyle, and fungal association. Points indicate individual taxonomic proxy tips. For host lineage, the inferential comparison contains ten angiosperm-coded and two gymnosperm-coded proxy tips; mixed tips are descriptive only. Other group sizes are reported in Supplementary Tables 35 and 36. Panel annotations report unadjusted (raw) P values from the Grafen-primary PGLS and phylogenetic ANOVA; Benjamini-Hochberg FDR-adjusted values are given in Supplementary Tables 35 and 36."
Supplementary Figure 21,Supplementary_Figures/Supplementary_Fig_21_ecology_centroid_size_180mm.png,Supplementary Figure 21. Ecological contrasts for centroid size.,"Boxplots showing the distribution of centroid size across the four broad ecological predictors used in the comparative analyses: host lineage, wood association, larval lifestyle, and fungal association. Points indicate individual taxonomic proxy tips. This figure provides a descriptive comparison of size structure across the ecological categories used in the supplementary comparative analyses. Panel annotations report unadjusted (raw) P values from the Grafen-primary PGLS and phylogenetic ANOVA; Benjamini-Hochberg FDR-adjusted values are given in Supplementary Tables 35 and 36."
Supplementary Figure 22,Supplementary_Figures/Supplementary_Fig_22_ecology_PC1_180mm.png,Supplementary Figure 22. Ecological contrasts for PC1.,"Boxplots showing the distribution of PC1 across the four broad ecological predictors used in the comparative analyses: host lineage, wood association, larval lifestyle, and fungal association. Points indicate individual taxonomic proxy tips. These plots provide a descriptive overview of group overlap and effect direction for the leading axis of trochanteral shape variation. Panel annotations report unadjusted (raw) P values from the Grafen-primary PGLS and phylogenetic ANOVA; Benjamini-Hochberg FDR-adjusted values are given in Supplementary Tables 35 and 36."
Supplementary Figure 23,Supplementary_Figures/Supplementary_Fig_23_ecology_absolute_winding_angle_180mm.png,Supplementary Figure 23. Ecological contrasts in the main dataset for fitted winding angle.,"Taxonomic proxy-tip means from the main dataset are shown across the three ecological predictors with estimable two-level contrasts: wood association, larval lifestyle and fungal association. Host lineage is omitted because only one retained gymnosperm-associated tip was available. The fungal-association contrast for absolute winding angle survived the within-framework FDR correction in PGLS (nine non-associated versus two associated proxy tips; FDR-adjusted P = 0.037) but not in phylogenetic ANOVA (raw and FDR-adjusted P = 0.853); it is therefore treated as exploratory and method-sensitive."
Supplementary Figure 24,Supplementary_Figures/Supplementary_Fig_24_ecology_axial_span_180mm.png,Supplementary Figure 24. Ecological contrasts in the main dataset for axial span.,"Taxonomic proxy-tip means from the main dataset are shown for axial span across wood association, larval lifestyle and fungal association. Host lineage is omitted because only one retained gymnosperm-associated tip was available. These panels are descriptive; no geometry association remained significant after FDR correction."
Supplementary Figure 25,Supplementary_Figures/Supplementary_Fig_25_kernel_width_morphospace_sensitivity_180mm.png,Supplementary Figure 25. Sensitivity of morphospace structure to atlas kernel width.,"Five archived 67-specimen atlas runs from the development-stage parameter comparison (kernel widths 0.025 to 0.2), shown in PC1-PC2 and PC2-PC3 space. Width 0.1 had first been selected visually; the quantitative comparison shown here was performed retrospectively. At width 0.1, full-space distance concordance was high with 0.075 and 0.15 (Spearman's ρ = 0.986 and 0.973) but lower with 0.025 (ρ = 0.355). These development-stage runs support a stable intermediate region, not a unique optimum or a final-dataset sensitivity result. Width 0.1 was retained unchanged for the final 68-specimen atlas after Rhynchites cupreus was added."
Supplementary Figure 26,Supplementary_Figures/Supplementary_Fig_26_semilandmark_placement_180mm_600dpi.png,Supplementary Figure 26. Semilandmark placement for screw joint geometry quantification.,"Representative trochanter showing the ordered manually placed semilandmarks tracing the screw-like articular relief. The complete three-dimensional point series was fitted with a robust circular helix that continuously estimates axis position and orientation, radius, angular trajectory and axial rise. The blue and red markers denote the first and last points; orange markers and connecting lines show the intervening tracing sequence. Placement was performed once per specimen, so the conditional fit bootstrap does not quantify manual tracing repeatability."
Supplementary Figure 27,Supplementary_Figures/Supplementary_Fig_27_screw_geometry_quality_control_180mm.png,Supplementary Figure 27. Quality control and sensitivity plots for screw joint geometry.,"Audit of the robust three-dimensional helix fit. Panels compare released and robust winding angle, released endpoint-equivalent and robust fitted pitch, axial-angular R², and helix RMS relative to fitted radius. The legacy angle estimates were closely reproduced overall, whereas fitted pitch differed strongly for several trajectories. Dryophthorus corticalis exceeded the relative RMS threshold used for the main dataset and was excluded. Point labels identify the largest discrepancies or diagnostic extremes."
Supplementary Figure 3,Supplementary_Figures/Supplementary_Fig_3_clusterability_trochanteral_morphospace_180mm.png,Supplementary Figure 3. Clusterability of the trochanteral morphospace.,"Distribution of 100 randomized Hopkins evaluations calculated from standardized PC1-PC5 scores (n = 68, m = 6, seed = 1). Values close to 1 indicate stronger spatial clustering than expected under spatial randomness. The orange line marks the mean (0.906), and the dashed line marks the 0.5 reference value. Because the sample did not permit conventional large-sample conditions for formal Hopkins inference, the distribution is interpreted only as an exploratory clusterability diagnostic."
Supplementary Figure 4,Supplementary_Figures/Supplementary_Fig_4_clustering_outcomes_alternative_methods_180mm.png,Supplementary Figure 4. Comparison of clustering outcomes across alternative methods.,"Specimens are plotted in PC1-PC2 morphospace with cluster assignments inferred separately from standardized PC1-PC5 scores by hierarchical clustering, k-means clustering and model-based clustering (mclust). Colours denote method-specific cluster assignments and should not be interpreted as corresponding clusters across panels. Hierarchical clustering and k-means each recovered three clusters, whereas mclust recovered five clusters. This method dependence does not support a single robust discrete partition of the morphospace."
Supplementary Figure 5,Supplementary_Figures/Supplementary_Fig_5_joint_types_morphospace_and_phylogeny_180mm.png,Supplementary Figure 5. Joint types across morphospace and phylogeny.,"(a,b) Two-dimensional projections of trochanteral morphospace, with specimens coloured by joint type. (c) Phylogenetic distribution of joint type assignments after specimens were assigned to the tree tips used for comparative analyses. Pie charts at terminal branches show the composition of sampled specimens assigned to each tree tip; solid circles indicate tips represented by a single joint type. The atypical coxal-stop category denotes Anthribus nebulosus and Urodon rufipes, which were retained as descriptive observations but not included in the four recurrent joint-type categories used for group-wise statistics."
Supplementary Figure 6,Supplementary_Figures/Supplementary_Fig_6_coxal_wall_thickness_size_opening_180mm.png,"Supplementary Figure 6. Whole-volume three-dimensional coxal wall thickness, coxa size and coxal wall opening.","(a) Median local wall thickness across the complete 3D coxa mask increased with coxa bounding-box diagonal (log-log LM, R² = 0.534, P < 0.001). Local thickness was defined at each foreground voxel as the diameter of the largest sphere fully contained within the coxa mask and containing that voxel. (b) After accounting for coxa size, opening-bearing coxae had 11.5% lower median whole-volume wall thickness than coxae without an opening, but this difference was not statistically significant (P = 0.116). (c) Coxa size did not differ between opening states (logistic regression, P = 0.803). Points represent individual specimens (n = 68)."
Supplementary Figure 7,Supplementary_Figures/Supplementary_Fig_7_coxal_wall_opening_stochastic_map_180mm.png,Supplementary Figure 7. Stochastic character map of coxal wall opening states.,"Stochastic character map of coxal wall opening across the 10 taxonomic proxy tips with unambiguous states on the topology-based Grafen primary tree. Tip colours show the observed states; pie charts at internal nodes summarize the proportions of 50 equal-rates stochastic maps assigning each state. The reconstruction is conditional on proxy assignment, within-tip aggregation and the selected topology and is not a genus-level ancestral reconstruction."
Supplementary Figure 8,Supplementary_Figures/Supplementary_Fig_8_coxal_opening_trait_contrasts_180mm.png,Supplementary Figure 8. Trait contrasts associated with the coxal opening character.,"Descriptive boxplots of taxonomic proxy-tip means from the main dataset for PC1, PC2, robust fitted winding angle, axial span, centroid size and absolute turn number across the two coxal-wall-opening states. The panels visualize the sparse groups only; no geometry association with opening state remained significant after correction, and the proxy-tip design does not establish a functional effect."
Supplementary Figure 9,Supplementary_Figures/Supplementary_Fig_9_atypical_anthribid_coxal_stops_180mm.png,Supplementary Figure 9. Unilateral coxal stop-like structures in two anthribids.,"Cross-sectional three-dimensional views of the coxa-trochanteral joint in (a) Anthribus nebulosus and (b) Urodon rufipes. Within each panel, the upper and lower images show the same joint from different perspectives. Red arrows indicate the stop-like structure on the coxal wall. The trochanter is shown in light grey and the coxa in dark grey."
